season,match_url,match_date,home_team,away_team,home_logo,away_logo,event_type,event_subtype,team,player_name,minute,scraped_at
2025-2026,https://www.englandhockey.co.uk/fixtures/f2dc80a4-0ec8-4875-9ab5-878416d7c80e,2025-09-20,Durham University 1,Clifton Robinsons 1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206061/University_of_Durham_HC_1663186332.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205075/Clifton_Robinsons_HC_1620129046.jpeg,goal,FG,Durham University 1,Lorna Crawford,15,2026-01-31T21:31:08
2025-2026,https://www.englandhockey.co.uk/fixtures/f2dc80a4-0ec8-4875-9ab5-878416d7c80e,2025-09-20,Durham University 1,Clifton Robinsons 1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206061/University_of_Durham_HC_1663186332.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205075/Clifton_Robinsons_HC_1620129046.jpeg,card,Green,Durham University 1,Elena Baggett,47,2026-01-31T21:31:08
2025-2026,https://www.englandhockey.co.uk/fixtures/f2dc80a4-0ec8-4875-9ab5-878416d7c80e,2025-09-20,Durham University 1,Clifton Robinsons 1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206061/University_of_Durham_HC_1663186332.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205075/Clifton_Robinsons_HC_1620129046.jpeg,goal,PC,Durham University 1,Evelyn Wilson,51,2026-01-31T21:31:08
2025-2026,https://www.englandhockey.co.uk/fixtures/f2dc80a4-0ec8-4875-9ab5-878416d7c80e,2025-09-20,Durham University 1,Clifton Robinsons 1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206061/University_of_Durham_HC_1663186332.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205075/Clifton_Robinsons_HC_1620129046.jpeg,card,Green,Durham University 1,Laura Cottee,56,2026-01-31T21:31:08
2025-2026,https://www.englandhockey.co.uk/fixtures/f2dc80a4-0ec8-4875-9ab5-878416d7c80e,2025-09-20,Durham University 1,Clifton Robinsons 1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206061/University_of_Durham_HC_1663186332.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205075/Clifton_Robinsons_HC_1620129046.jpeg,goal,PC,Clifton Robinsons 1,Evie Grindal,21,2026-01-31T21:31:08
2025-2026,https://www.englandhockey.co.uk/fixtures/f2dc80a4-0ec8-4875-9ab5-878416d7c80e,2025-09-20,Durham University 1,Clifton Robinsons 1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206061/University_of_Durham_HC_1663186332.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205075/Clifton_Robinsons_HC_1620129046.jpeg,card,Green,Clifton Robinsons 1,Jade Vardon-Cardy,64,2026-01-31T21:31:08
2025-2026,https://www.englandhockey.co.uk/fixtures/93b8e890-bea1-4822-98ee-8a31e2e4e761,2025-09-20,University of Birmingham W1,Bowdon 1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205155/University_of_Birmingham_HC_1699282420.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205113/Bowdon_HC_1696968720.png,goal,PC,University of Birmingham W1,Hannah Pearce,48,2026-01-31T21:31:12
2025-2026,https://www.englandhockey.co.uk/fixtures/93b8e890-bea1-4822-98ee-8a31e2e4e761,2025-09-20,University of Birmingham W1,Bowdon 1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205155/University_of_Birmingham_HC_1699282420.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205113/Bowdon_HC_1696968720.png,card,Green,University of Birmingham W1,Hannah Atkinson,50,2026-01-31T21:31:12
2025-2026,https://www.englandhockey.co.uk/fixtures/93b8e890-bea1-4822-98ee-8a31e2e4e761,2025-09-20,University of Birmingham W1,Bowdon 1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205155/University_of_Birmingham_HC_1699282420.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205113/Bowdon_HC_1696968720.png,goal,PC,University of Birmingham W1,Hannah Pearce,51,2026-01-31T21:31:12
2025-2026,https://www.englandhockey.co.uk/fixtures/93b8e890-bea1-4822-98ee-8a31e2e4e761,2025-09-20,University of Birmingham W1,Bowdon 1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205155/University_of_Birmingham_HC_1699282420.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205113/Bowdon_HC_1696968720.png,goal,FG,University of Birmingham W1,Coca Hall,55,2026-01-31T21:31:12
2025-2026,https://www.englandhockey.co.uk/fixtures/93b8e890-bea1-4822-98ee-8a31e2e4e761,2025-09-20,University of Birmingham W1,Bowdon 1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205155/University_of_Birmingham_HC_1699282420.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205113/Bowdon_HC_1696968720.png,card,Green,Bowdon 1,Margot Willis,46,2026-01-31T21:31:12
2025-2026,https://www.englandhockey.co.uk/fixtures/058484b7-d5ad-4477-babc-6c7378232a80,2025-09-20,Hampstead & Westminster W1,East Grinstead W1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205065/East_Grinstead_HC_1665581034.jpg,goal,FG,Hampstead & Westminster W1,Rose Tynan,33,2026-01-31T21:31:16
2025-2026,https://www.englandhockey.co.uk/fixtures/058484b7-d5ad-4477-babc-6c7378232a80,2025-09-20,Hampstead & Westminster W1,East Grinstead W1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205065/East_Grinstead_HC_1665581034.jpg,goal,FG,Hampstead & Westminster W1,Rose Tynan,38,2026-01-31T21:31:16
2025-2026,https://www.englandhockey.co.uk/fixtures/058484b7-d5ad-4477-babc-6c7378232a80,2025-09-20,Hampstead & Westminster W1,East Grinstead W1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205065/East_Grinstead_HC_1665581034.jpg,goal,PC,Hampstead & Westminster W1,Holly Hunt,62,2026-01-31T21:31:16
2025-2026,https://www.englandhockey.co.uk/fixtures/058484b7-d5ad-4477-babc-6c7378232a80,2025-09-20,Hampstead & Westminster W1,East Grinstead W1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205065/East_Grinstead_HC_1665581034.jpg,card,Green,East Grinstead W1,Millie Giglio,41,2026-01-31T21:31:16
2025-2026,https://www.englandhockey.co.uk/fixtures/3d84647b-5773-487b-bc74-5b5efd89bad1,2025-09-20,Wimbledon W1,Reading 1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205003/Reading_HC_1695932527.png,goal,PC,Wimbledon W1,Flora Fletcher,3,2026-01-31T21:31:18
2025-2026,https://www.englandhockey.co.uk/fixtures/3d84647b-5773-487b-bc74-5b5efd89bad1,2025-09-20,Wimbledon W1,Reading 1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205003/Reading_HC_1695932527.png,card,Green,Wimbledon W1,Sarah Jones,29,2026-01-31T21:31:18
2025-2026,https://www.englandhockey.co.uk/fixtures/3d84647b-5773-487b-bc74-5b5efd89bad1,2025-09-20,Wimbledon W1,Reading 1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205003/Reading_HC_1695932527.png,goal,PC,Reading 1,Lorna Mackenzie,35,2026-01-31T21:31:18
2025-2026,https://www.englandhockey.co.uk/fixtures/3d84647b-5773-487b-bc74-5b5efd89bad1,2025-09-20,Wimbledon W1,Reading 1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205003/Reading_HC_1695932527.png,goal,FG,Reading 1,Annie Wilson,70,2026-01-31T21:31:18
2025-2026,https://www.englandhockey.co.uk/fixtures/856bae67-3ab9-4009-9f64-1d574528d552,2025-09-20,University of Nottingham 1,Loughborough Students W1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/208259/University_of_Nottingham_HC_1697800791.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204935/Loughborough_Students_HC_1698157163.jpg,goal,FG,University of Nottingham 1,Lucy Millington,19,2026-01-31T21:31:22
2025-2026,https://www.englandhockey.co.uk/fixtures/856bae67-3ab9-4009-9f64-1d574528d552,2025-09-20,University of Nottingham 1,Loughborough Students W1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/208259/University_of_Nottingham_HC_1697800791.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204935/Loughborough_Students_HC_1698157163.jpg,card,Green,University of Nottingham 1,Amelia Pollock,26,2026-01-31T21:31:22
2025-2026,https://www.englandhockey.co.uk/fixtures/856bae67-3ab9-4009-9f64-1d574528d552,2025-09-20,University of Nottingham 1,Loughborough Students W1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/208259/University_of_Nottingham_HC_1697800791.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204935/Loughborough_Students_HC_1698157163.jpg,goal,PC,Loughborough Students W1,Amy Cradden,10,2026-01-31T21:31:22
2025-2026,https://www.englandhockey.co.uk/fixtures/856bae67-3ab9-4009-9f64-1d574528d552,2025-09-20,University of Nottingham 1,Loughborough Students W1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/208259/University_of_Nottingham_HC_1697800791.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204935/Loughborough_Students_HC_1698157163.jpg,goal,FG,Loughborough Students W1,Mia Moore,15,2026-01-31T21:31:22
2025-2026,https://www.englandhockey.co.uk/fixtures/856bae67-3ab9-4009-9f64-1d574528d552,2025-09-20,University of Nottingham 1,Loughborough Students W1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/208259/University_of_Nottingham_HC_1697800791.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204935/Loughborough_Students_HC_1698157163.jpg,goal,FG,Loughborough Students W1,Mia Moore,25,2026-01-31T21:31:22
2025-2026,https://www.englandhockey.co.uk/fixtures/856bae67-3ab9-4009-9f64-1d574528d552,2025-09-20,University of Nottingham 1,Loughborough Students W1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/208259/University_of_Nottingham_HC_1697800791.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204935/Loughborough_Students_HC_1698157163.jpg,card,Green,Loughborough Students W1,Hannah Boss,37,2026-01-31T21:31:22
2025-2026,https://www.englandhockey.co.uk/fixtures/856bae67-3ab9-4009-9f64-1d574528d552,2025-09-20,University of Nottingham 1,Loughborough Students W1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/208259/University_of_Nottingham_HC_1697800791.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204935/Loughborough_Students_HC_1698157163.jpg,goal,PC,Loughborough Students W1,Lucy Mackey,38,2026-01-31T21:31:22
2025-2026,https://www.englandhockey.co.uk/fixtures/856bae67-3ab9-4009-9f64-1d574528d552,2025-09-20,University of Nottingham 1,Loughborough Students W1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/208259/University_of_Nottingham_HC_1697800791.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204935/Loughborough_Students_HC_1698157163.jpg,goal,FG,Loughborough Students W1,Jessica Dyson,50,2026-01-31T21:31:22
2025-2026,https://www.englandhockey.co.uk/fixtures/856bae67-3ab9-4009-9f64-1d574528d552,2025-09-20,University of Nottingham 1,Loughborough Students W1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/208259/University_of_Nottingham_HC_1697800791.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204935/Loughborough_Students_HC_1698157163.jpg,card,Green,Loughborough Students W1,Hollie Dring-Richardson,60,2026-01-31T21:31:22
