season,phase,competition_group,competition,match_date,match_time,home_team,away_team,home_score,away_score,venue,match_url,scraped_at
2025-2026,Phase 1,EH Adult EHL Womens,Womens Premier Division,2025-09-20,,Durham University 1,Clifton Robinsons 1,2,1,University Of Durham - Pitch 1,https://www.englandhockey.co.uk/fixtures/f2dc80a4-0ec8-4875-9ab5-878416d7c80e,2026-01-31T20:55:51
2025-2026,Phase 1,EH Adult EHL Womens,Womens Premier Division,2025-09-20,,University of Birmingham W1,Bowdon 1,3,0,Birmingham - University Of Birmingham - Pitch 1,https://www.englandhockey.co.uk/fixtures/93b8e890-bea1-4822-98ee-8a31e2e4e761,2026-01-31T20:56:01
2025-2026,Phase 1,EH Adult EHL Womens,Womens Premier Division,2025-09-20,,Hampstead & Westminster W1,East Grinstead W1,3,0,Paddington Recreation Ground,https://www.englandhockey.co.uk/fixtures/058484b7-d5ad-4477-babc-6c7378232a80,2026-01-31T20:56:11
2025-2026,Phase 1,EH Adult EHL Womens,Womens Premier Division,2025-09-20,,Wimbledon W1,Reading 1,1,2,Raynes Park High School,https://www.englandhockey.co.uk/fixtures/3d84647b-5773-487b-bc74-5b5efd89bad1,2026-01-31T20:56:21
2025-2026,Phase 1,EH Adult EHL Womens,Womens Premier Division,2025-09-20,,University of Nottingham 1,Loughborough Students W1,1,5,Nottingham Hockey Centre - Pitch 4 (University),https://www.englandhockey.co.uk/fixtures/856bae67-3ab9-4009-9f64-1d574528d552,2026-01-31T20:56:31
2025-2026,Phase 2,EH Adult EHL Womens,Womens Premier Division Phase 2 Top 6,2026-03-15,12:00,Reading 1,Hampstead & Westminster W1,,,,https://www.englandhockey.co.uk/fixtures/f6f38031-baaf-4024-94fe-f286e840d642,2026-01-31T20:57:44
2025-2026,Phase 2,EH Adult EHL Womens,Womens Premier Division Phase 2 Top 6,2026-03-21,14:00,Durham University 1,Reading 1,,,,https://www.englandhockey.co.uk/fixtures/14b568e0-021c-46eb-b846-59c2b75ce4f5,2026-01-31T20:58:27
2025-2026,Phase 2,EH Adult EHL Womens,Womens Premier Division Phase 2 Top 6,2026-03-21,14:00,Wimbledon W1,East Grinstead W1,,,Raynes Park High School,https://www.englandhockey.co.uk/fixtures/f2fca126-aae8-4668-9d9a-4420e4770303,2026-01-31T20:58:37
2025-2026,Phase 2,EH Adult EHL Womens,Womens Premier Division Phase 2 Top 6,2026-03-21,16:00,Surbiton W1,Hampstead & Westminster W1,,,Surbiton HC - Pitch 1,https://www.englandhockey.co.uk/fixtures/55c7eb42-989f-493e-a626-27f0aa536038,2026-01-31T20:58:47
2025-2026,Phase 2,EH Adult EHL Womens,Womens Premier Division Phase 2 Top 6,2026-03-22,14:00,Durham University 1,East Grinstead W1,,,University Of Durham - Pitch 1,https://www.englandhockey.co.uk/fixtures/96493ca3-bb2f-41d2-b4a0-5eed4efc4d62,2026-01-31T20:59:12
2025-2026,Phase 2,EH Adult EHL Womens,Womens Premier Division Phase 2 Lower 6,2026-03-14,15:30,Loughborough Students W1,Clifton Robinsons 1,,,Loughborough University - Pitch 1,https://www.englandhockey.co.uk/fixtures/143de99d-be95-401a-8992-75473a6a52b2,2026-01-31T21:00:10
2025-2026,Phase 2,EH Adult EHL Womens,Womens Premier Division Phase 2 Lower 6,2026-03-21,14:00,University of Birmingham W1,Barnes W1,,,Birmingham - University Of Birmingham - Pitch 1,https://www.englandhockey.co.uk/fixtures/cf2c781a-3877-40b5-83c2-119e66b9a76b,2026-01-31T21:00:34
2025-2026,Phase 2,EH Adult EHL Womens,Womens Premier Division Phase 2 Lower 6,2026-03-21,14:00,University of Nottingham 1,Clifton Robinsons 1,,,Nottingham Hockey Centre - Pitch 4 (University),https://www.englandhockey.co.uk/fixtures/8e516e17-2488-4913-995f-5f93fc99a83e,2026-01-31T21:00:44
2025-2026,Phase 2,EH Adult EHL Womens,Womens Premier Division Phase 2 Lower 6,2026-03-21,15:00,Loughborough Students W1,Bowdon 1,,,Loughborough University - Pitch 1,https://www.englandhockey.co.uk/fixtures/542ed5a5-421d-4cf3-b0fe-1f2c3252972c,2026-01-31T21:00:54
2025-2026,Phase 2,EH Adult EHL Womens,Womens Premier Division Phase 2 Lower 6,2026-03-22,14:30,Bowdon 1,Barnes W1,,,Bowdon Club (Cricket Hockey & Squash),https://www.englandhockey.co.uk/fixtures/fd0b7d57-db37-42de-a267-1335639cd1bf,2026-01-31T21:01:20
2025-2026,,EH Adult EHL Womens,Womens Division 1 North,2025-09-20,,Pendle Forest 1,Repton W1,1,1,Pendle Vale College,https://www.englandhockey.co.uk/fixtures/e218e09e-49a6-478a-9305-7d7168c020cd,2026-01-31T21:02:13
2025-2026,,EH Adult EHL Womens,Womens Division 1 North,2025-09-20,,Buckingham W1,Loughborough Students 2,3,1,Stowe School - Pitch 1,https://www.englandhockey.co.uk/fixtures/d8723e60-4533-480a-9bb2-a717f9597488,2026-01-31T21:02:23
2025-2026,,EH Adult EHL Womens,Womens Division 1 North,2025-09-20,,Gloucester City 1,Olton & West Warwicks 1,2,2,Gloucester - Oxstalls Sports Park (V),https://www.englandhockey.co.uk/fixtures/062be0ee-1329-4aa6-8698-cc3281b8b543,2026-01-31T21:02:33
2025-2026,,EH Adult EHL Womens,Womens Division 1 North,2025-09-20,,Ben Rhydding W1,Leeds 1,2,1,Ben Rhydding HC - Pitch 1,https://www.englandhockey.co.uk/fixtures/038fc9a2-1ad1-4484-bfc5-f9b2a2095a1f,2026-01-31T21:02:43
2025-2026,,EH Adult EHL Womens,Womens Division 1 North,2025-09-20,,Beeston W1,Sutton Coldfield 1,1,1,Nottingham Hockey Centre - Pitch 1,https://www.englandhockey.co.uk/fixtures/1dfbf408-81b3-4ff7-b8cc-d35781aaa7d0,2026-01-31T21:02:53
2025-2026,,EH Adult EHL Womens,Womens Division 1 South,2025-09-20,,Bristol Firebrands 1,Southgate W1,3,2,Bristol - Firebrands HC,https://www.englandhockey.co.uk/fixtures/54ea21ca-560b-4a18-9239-acda255d19b3,2026-01-31T21:03:36
2025-2026,,EH Adult EHL Womens,Womens Division 1 South,2025-09-20,,University of Exeter W1,Sevenoaks 1,3,1,Exeter University - Pitch 1,https://www.englandhockey.co.uk/fixtures/cd2f66ba-4ba9-4b2f-bd2c-81a15889a5c6,2026-01-31T21:03:46
2025-2026,,EH Adult EHL Womens,Womens Division 1 South,2025-09-20,,Teddington W1,Reading 2,1,2,Teddington School - Pitch 1,https://www.englandhockey.co.uk/fixtures/595d3117-d6a1-4a9f-a517-1c19801d2302,2026-01-31T21:03:57
2025-2026,,EH Adult EHL Womens,Womens Division 1 South,2025-09-20,,Harleston Magpies 1,Holcombe W1,2,6,Harleston Magpies HC - Pitch 1,https://www.englandhockey.co.uk/fixtures/a1cf5137-2d4a-4c11-81c0-336247f123b4,2026-01-31T21:04:07
2025-2026,,EH Adult EHL Womens,Womens Division 1 South,2025-09-20,,Guildford 1,Surbiton W2,2,2,Broadwater School - Pitch 1,https://www.englandhockey.co.uk/fixtures/32f762cb-bc89-4bc9-b5fc-8084ff2f76b1,2026-01-31T21:04:17
2025-2026,Phase 1,EH Adult EHL Open/Mens,Open - Mens Premier Division,2025-09-20,,Oxted M1,Surbiton M1,3,7,Caterham School,https://www.englandhockey.co.uk/fixtures/c79b130a-d769-4712-bbf9-eace2d7bd1d8,2026-01-31T21:04:56
2025-2026,Phase 1,EH Adult EHL Open/Mens,Open - Mens Premier Division,2025-09-20,,Wimbledon M1,Reading,8,4,Raynes Park High School,https://www.englandhockey.co.uk/fixtures/7995d38e-e2c0-4695-95e4-798902144f80,2026-01-31T21:05:06
2025-2026,Phase 1,EH Adult EHL Open/Mens,Open - Mens Premier Division,2025-09-20,,Brooklands Manchester University M1,Southgate M1,0,0,Brooklands Cricket & Lawn Tennis Club,https://www.englandhockey.co.uk/fixtures/84e5a142-e9ec-459a-8511-39792dc470b8,2026-01-31T21:05:16
2025-2026,Phase 1,EH Adult EHL Open/Mens,Open - Mens Premier Division,2025-09-20,,Hampstead & Westminster M1,East Grinstead M1,5,2,Paddington Recreation Ground,https://www.englandhockey.co.uk/fixtures/4037914d-6d7d-405d-b914-d10a5b7adc78,2026-01-31T21:05:26
2025-2026,Phase 1,EH Adult EHL Open/Mens,Open - Mens Premier Division,2025-09-20,,Old Georgians M1,Beeston M1,5,0,St Georges College - Pitch 1,https://www.englandhockey.co.uk/fixtures/32027c55-5261-4c7b-a7c2-da5b3adf03d5,2026-01-31T21:05:36
2025-2026,Phase 2,EH Adult EHL Open/Mens,Open - Mens Premier Division Phase 2 Top 6,2026-03-15,00:00,Old Georgians M1,Hampstead & Westminster M1,,,,https://www.englandhockey.co.uk/fixtures/097eebb9-ea62-4ed1-a4f2-ba248f4a753c,2026-01-31T21:06:47
2025-2026,Phase 2,EH Adult EHL Open/Mens,Open - Mens Premier Division Phase 2 Top 6,2026-03-15,14:00,Oxted M1,Holcombe M1,,,Caterham School,https://www.englandhockey.co.uk/fixtures/b1f98888-b843-4379-98de-89544bce502f,2026-01-31T21:06:57
2025-2026,Phase 2,EH Adult EHL Open/Mens,Open - Mens Premier Division Phase 2 Top 6,2026-03-15,15:00,Surbiton M1,Wimbledon M1,,,Surbiton HC - Pitch 1,https://www.englandhockey.co.uk/fixtures/db862a01-045e-4143-9f8a-50be69071a1a,2026-01-31T21:07:07
2025-2026,Phase 2,EH Adult EHL Open/Mens,Open - Mens Premier Division Phase 2 Top 6,2026-03-19,20:00,Wimbledon M1,Oxted M1,,,Raynes Park High School,https://www.englandhockey.co.uk/fixtures/a69afcf5-5342-4ce6-a4cb-bcb1c91c3a0b,2026-01-31T21:07:30
2025-2026,Phase 2,EH Adult EHL Open/Mens,Open - Mens Premier Division Phase 2 Top 6,2026-03-21,00:00,Old Georgians M1,Holcombe M1,,,,https://www.englandhockey.co.uk/fixtures/26649e51-0a46-497c-902e-fbe93e336807,2026-01-31T21:08:15
2025-2026,Phase 2,EH Adult EHL Open/Mens,Open - Mens Premier Division Phase 2 Lower 6,2026-03-15,13:30,Reading,Brooklands Manchester University M1,,,Reading HC - Pitch 1 - Sonning Lane Water,https://www.englandhockey.co.uk/fixtures/11d2e09e-e29f-4381-b5bf-a91849e58517,2026-01-31T21:09:04
2025-2026,Phase 2,EH Adult EHL Open/Mens,Open - Mens Premier Division Phase 2 Lower 6,2026-03-15,14:00,East Grinstead M1,Southgate M1,,,East Grinstead Sports Club,https://www.englandhockey.co.uk/fixtures/7426a1d6-4a36-410a-9a7e-051c8669181b,2026-01-31T21:09:14
2025-2026,Phase 2,EH Adult EHL Open/Mens,Open - Mens Premier Division Phase 2 Lower 6,2026-03-15,18:00,Cardiff & Met,Beeston M1,,,,https://www.englandhockey.co.uk/fixtures/61f28b40-3e47-4491-aa4f-ffec7cbb3b07,2026-01-31T21:09:44
2025-2026,Phase 2,EH Adult EHL Open/Mens,Open - Mens Premier Division Phase 2 Lower 6,2026-03-21,17:30,Brooklands Manchester University M1,East Grinstead M1,,,Brooklands Cricket & Lawn Tennis Club,https://www.englandhockey.co.uk/fixtures/9819caca-9dc8-4118-8cb5-f67492e92529,2026-01-31T21:10:12
2025-2026,Phase 2,EH Adult EHL Open/Mens,Open - Mens Premier Division Phase 2 Lower 6,2026-03-21,18:00,Beeston M1,Southgate M1,,,Nottingham Hockey Centre - Pitch 1,https://www.englandhockey.co.uk/fixtures/12fde4c6-069c-4286-8aa9-7c5799d4b8a3,2026-01-31T21:10:22
2025-2026,,EH Adult EHL Open/Mens,Open - Mens Division 1 North,2025-09-20,,University of Birmingham,Bowdon,0,4,Birmingham - University Of Birmingham - Pitch 1,https://www.englandhockey.co.uk/fixtures/22fd5480-fd11-4f04-9804-e3a3842eda41,2026-01-31T21:11:15
2025-2026,,EH Adult EHL Open/Mens,Open - Mens Division 1 North,2025-09-20,,University of Nottingham M1,Loughborough Students,0,1,Nottingham Hockey Centre - Pitch 4 (University),https://www.englandhockey.co.uk/fixtures/ed6b98a3-d233-4c73-b399-b91ae69978fa,2026-01-31T21:11:25
2025-2026,,EH Adult EHL Open/Mens,Open - Mens Division 1 North,2025-09-21,,Durham University M1,Repton M1,1,2,University Of Durham - Pitch 1,https://www.englandhockey.co.uk/fixtures/dca31eaa-1f36-4c95-acfa-3a1987a4a4db,2026-01-31T21:11:50
2025-2026,,EH Adult EHL Open/Mens,Open - Mens Division 1 North,2025-09-21,,Harborne 1,Olton & West Warwicks,2,3,Birmingham - King Edward's VI Boys School,https://www.englandhockey.co.uk/fixtures/a12fc0b5-2e1f-45ec-92df-21c43ac7cd81,2026-01-31T21:12:00
2025-2026,,EH Adult EHL Open/Mens,Open - Mens Division 1 North,2025-09-27,,Durham University M1,University of Nottingham M1,5,3,University Of Durham - Pitch 1,https://www.englandhockey.co.uk/fixtures/57a7d98e-b278-43d2-adc2-bd575f7bfbb0,2026-01-31T21:12:25
2025-2026,,EH Adult EHL Open/Mens,Open - Mens Division 1 South,2025-09-20,,Surbiton M2,Guildford M1,1,1,Surbiton HC - Pitch 1,https://www.englandhockey.co.uk/fixtures/621f3c1f-a9b1-4c22-980a-ede82a222bb5,2026-01-31T21:13:17
2025-2026,,EH Adult EHL Open/Mens,Open - Mens Division 1 South,2025-09-20,,Teddington M1,Havant,5,0,Teddington School - Pitch 1,https://www.englandhockey.co.uk/fixtures/01aaa290-c91c-4181-ae81-dae52874c688,2026-01-31T21:13:27
2025-2026,,EH Adult EHL Open/Mens,Open - Mens Division 1 South,2025-09-21,,Old Loughtonians Mens 1,Canterbury,2,0,Lee Valley Hockey and Tennis Centre - Pitch 1,https://www.englandhockey.co.uk/fixtures/e0c43236-8d96-489a-a8ce-dc6acbbe5853,2026-01-31T21:13:52
2025-2026,,EH Adult EHL Open/Mens,Open - Mens Division 1 South,2025-09-21,,University of Exeter M1,Sevenoaks,3,1,Exeter University - Pitch 1,https://www.englandhockey.co.uk/fixtures/995d46e9-4b05-423d-a0b7-b7a45713e5f1,2026-01-31T21:14:02
