season,phase,competition_group,competition,match_date,match_time,home_team,away_team,home_score,away_score,venue,match_url,scraped_at
2025-2026,,EH Adult EHL Open/Mens,Open - Mens Division 1 South,2025-09-21,,Richmond M1,Indian Gymkhana M1,2,6,Quintin Hogg Ground - Pitch 1,https://www.englandhockey.co.uk/fixtures/1e59405a-b6ce-4051-9959-45cacfa1a059,2026-01-31T21:14:13
2024-2025,Phase 1,EH Adult EHL Womens,Womens Premier Division,2024-09-21,,University of Nottingham 1,Bowdon 1,1,0,Nottingham Hockey Centre - Pitch 4 (University),https://www.englandhockey.co.uk/fixtures/6ed5e5dc-bf98-4f82-8f3d-b8ac67967fad,2026-01-31T21:14:52
2024-2025,Phase 1,EH Adult EHL Womens,Womens Premier Division,2024-09-21,,Clifton Robinsons 1,Surbiton W1,0,2,Bristol - Clifton College SC(V),https://www.englandhockey.co.uk/fixtures/fa70bca0-d1b3-4059-82b4-646476519b7d,2026-01-31T21:15:03
2024-2025,Phase 1,EH Adult EHL Womens,Womens Premier Division,2024-09-21,,Loughborough Students W1,Reading 1,1,2,Loughborough University - Pitch 1,https://www.englandhockey.co.uk/fixtures/701cf964-d27e-46ef-9114-2821ba10e084,2026-01-31T21:15:13
2024-2025,Phase 1,EH Adult EHL Womens,Womens Premier Division,2024-09-21,,University of Birmingham W1,Sutton Coldfield 1,8,0,Birmingham - University Of Birmingham - Pitch 1,https://www.englandhockey.co.uk/fixtures/be3c0110-5cd5-4912-9d50-f4279402b9ce,2026-01-31T21:15:23
2024-2025,Phase 1,EH Adult EHL Womens,Womens Premier Division,2024-09-21,,East Grinstead W1,Hampstead & Westminster W1,1,0,East Grinstead Sports Club,https://www.englandhockey.co.uk/fixtures/f32aa4d7-d5c8-48dd-a37c-c12f5867a46f,2026-01-31T21:15:33
2024-2025,Phase 2,EH Adult EHL Womens,Womens Premier Division Phase 2 Top 6,2025-03-01,,Hampstead & Westminster W1,Loughborough Students W1,2,1,Paddington Recreation Ground,https://www.englandhockey.co.uk/fixtures/76f2683d-09b2-4fd7-a72c-e862677e1d3e,2026-01-31T21:16:25
2024-2025,Phase 2,EH Adult EHL Womens,Womens Premier Division Phase 2 Top 6,2025-03-01,,Wimbledon W1,East Grinstead W1,2,4,Raynes Park High School,https://www.englandhockey.co.uk/fixtures/46cb86cb-b341-4e8b-b0f1-abc212a8779c,2026-01-31T21:16:35
2024-2025,Phase 2,EH Adult EHL Womens,Womens Premier Division Phase 2 Top 6,2025-03-01,,Surbiton W1,Reading 1,2,2,Surbiton HC - Pitch 1,https://www.englandhockey.co.uk/fixtures/c3b86806-666e-4a61-a3b9-085977283aba,2026-01-31T21:16:45
2024-2025,Phase 2,EH Adult EHL Womens,Womens Premier Division Phase 2 Top 6,2025-03-08,,Hampstead & Westminster W1,East Grinstead W1,4,3,Paddington Recreation Ground,https://www.englandhockey.co.uk/fixtures/4e59ef87-3fe3-4079-92dc-ed78beac57ed,2026-01-31T21:16:59
2024-2025,Phase 2,EH Adult EHL Womens,Womens Premier Division Phase 2 Top 6,2025-03-08,,Wimbledon W1,Surbiton W1,1,4,Raynes Park High School,https://www.englandhockey.co.uk/fixtures/46a7dcd7-0265-4582-a571-a39ad4d5f77a,2026-01-31T21:17:09
2024-2025,Phase 2,EH Adult EHL Womens,Womens Premier Division Phase 2 Lower 6,2025-03-01,,Bowdon 1,Clifton Robinsons 1,2,1,Bowdon Club (Cricket Hockey & Squash),https://www.englandhockey.co.uk/fixtures/7a219abd-d8e7-4e49-9114-5def4f8b43a0,2026-01-31T21:18:00
2024-2025,Phase 2,EH Adult EHL Womens,Womens Premier Division Phase 2 Lower 6,2025-03-01,,University of Birmingham W1,University of Nottingham 1,2,2,Birmingham - University Of Birmingham - Pitch 1,https://www.englandhockey.co.uk/fixtures/dd0660b8-e884-4498-9cec-b01543e3d736,2026-01-31T21:18:10
2024-2025,Phase 2,EH Adult EHL Womens,Womens Premier Division Phase 2 Lower 6,2025-03-01,,Holcombe W1,Sutton Coldfield 1,2,0,,https://www.englandhockey.co.uk/fixtures/80d2303a-9a9e-4a1f-ab7d-eb5adebd3629,2026-01-31T21:18:40
2024-2025,Phase 2,EH Adult EHL Womens,Womens Premier Division Phase 2 Lower 6,2025-03-08,,University of Nottingham 1,Sutton Coldfield 1,2,0,Nottingham Hockey Centre - Pitch 4 (University),https://www.englandhockey.co.uk/fixtures/33094d40-870a-47a6-81c3-26f5df26acb2,2026-01-31T21:19:05
2024-2025,Phase 2,EH Adult EHL Womens,Womens Premier Division Phase 2 Lower 6,2025-03-08,,Clifton Robinsons 1,University of Birmingham W1,1,1,Bristol - Clifton College SC(V),https://www.englandhockey.co.uk/fixtures/c66cb20a-a762-4678-a27c-53f580d13b35,2026-01-31T21:19:15
2024-2025,,EH Adult EHL Womens,Womens Division 1 North,2024-09-21,,Buckingham W1,Ben Rhydding W1,2,1,Stowe School - Pitch 1,https://www.englandhockey.co.uk/fixtures/4fbe436a-89be-4cc5-ab47-4d1aea7fd190,2026-01-31T21:20:08
2024-2025,,EH Adult EHL Womens,Womens Division 1 North,2024-09-21,,Pendle Forest 1,Wakefield 1,0,1,Pendle Vale College,https://www.englandhockey.co.uk/fixtures/ea4763ca-5fa2-4499-b95c-213726dd9a62,2026-01-31T21:20:18
2024-2025,,EH Adult EHL Womens,Womens Division 1 North,2024-09-21,,Durham University 1,Leicester City 1,2,0,University Of Durham - Pitch 1,https://www.englandhockey.co.uk/fixtures/552b2332-2e6d-45ff-ab82-bcfd9a735bd8,2026-01-31T21:20:29
2024-2025,,EH Adult EHL Womens,Womens Division 1 North,2024-09-21,,Repton W1,Gloucester City 1,2,1,Repton School,https://www.englandhockey.co.uk/fixtures/adc83d63-e71c-4320-b375-a0c0dbd73e2c,2026-01-31T21:20:39
2024-2025,,EH Adult EHL Womens,Womens Division 1 North,2024-09-21,,Olton & West Warwicks 1,Beeston W1,2,1,Solihull - Olton & WW Sports Club,https://www.englandhockey.co.uk/fixtures/91a996d6-f112-4726-b4ce-ab80f73b237f,2026-01-31T21:20:49
2024-2025,,EH Adult EHL Womens,Womens Division 1 South,2024-09-21,,Slough 1,Bristol Firebrands 1,0,1,,https://www.englandhockey.co.uk/fixtures/3e6c18f8-8140-4d97-b1aa-d819e7ae8788,2026-01-31T21:21:51
2024-2025,,EH Adult EHL Womens,Womens Division 1 South,2024-09-21,,Wimbledon W2,University of Exeter W1,2,3,Raynes Park High School,https://www.englandhockey.co.uk/fixtures/f1651408-1876-456b-bbf1-a2836b3671c4,2026-01-31T21:22:01
2024-2025,,EH Adult EHL Womens,Womens Division 1 South,2024-09-21,,Harleston Magpies 1,Surbiton W2,1,1,Harleston Magpies HC - Pitch 1,https://www.englandhockey.co.uk/fixtures/27d2cdc2-a20a-498c-8ddf-4b417438b28a,2026-01-31T21:22:11
2024-2025,,EH Adult EHL Womens,Womens Division 1 South,2024-09-21,,Southgate W1,Guildford 1,0,0,Southgate Hockey Centre Pitch 1,https://www.englandhockey.co.uk/fixtures/b5ef3d53-5205-40d2-9ce1-f681744e6781,2026-01-31T21:22:21
2024-2025,,EH Adult EHL Womens,Womens Division 1 South,2024-09-21,,Sevenoaks 1,Barnes W1,1,2,Sevenoaks HC - Holly Bush Lane,https://www.englandhockey.co.uk/fixtures/3b7cea21-e16a-49ba-bd75-59e7740608a9,2026-01-31T21:22:31
2024-2025,Phase 1,EH Adult EHL Open/Mens,Open - Mens Premier Division,2024-09-21,,Southgate M1,Cardiff & Met,1,3,Southgate Hockey Centre Pitch 1,https://www.englandhockey.co.uk/fixtures/0166a22a-eda4-48df-a3d8-69e9bdbb2455,2026-01-31T21:23:14
2024-2025,Phase 1,EH Adult EHL Open/Mens,Open - Mens Premier Division,2024-09-21,,Beeston M1,Richmond M1,0,0,Nottingham Hockey Centre - Pitch 1,https://www.englandhockey.co.uk/fixtures/83e19097-4267-4269-88a9-18d8f9d8c438,2026-01-31T21:23:24
2024-2025,Phase 1,EH Adult EHL Open/Mens,Open - Mens Premier Division,2024-09-21,,Surbiton M1,Oxted M1,4,2,Surbiton HC - Pitch 1,https://www.englandhockey.co.uk/fixtures/6c7e2178-2b68-4b3f-a5be-0ac4e1eadb5b,2026-01-31T21:23:34
2024-2025,Phase 1,EH Adult EHL Open/Mens,Open - Mens Premier Division,2024-09-21,,East Grinstead M1,Hampstead & Westminster M1,1,3,East Grinstead Sports Club,https://www.englandhockey.co.uk/fixtures/06513b79-101c-4f52-8e58-87ba9e63de96,2026-01-31T21:23:44
2024-2025,Phase 1,EH Adult EHL Open/Mens,Open - Mens Premier Division,2024-09-21,,Bowdon,Old Georgians M1,1,6,Bowdon Club (Cricket Hockey & Squash),https://www.englandhockey.co.uk/fixtures/8146a747-2c65-4ca5-bac5-5f507c4944c9,2026-01-31T21:23:54
2024-2025,Phase 2,EH Adult EHL Open/Mens,Open - Mens Premier Division Phase 2 Top 6,2025-03-08,,Surbiton M1,Oxted M1,5,3,Surbiton HC - Pitch 1,https://www.englandhockey.co.uk/fixtures/d8a6dace-74e2-49fe-a8f8-caa3d3a77508,2026-01-31T21:24:47
2024-2025,Phase 2,EH Adult EHL Open/Mens,Open - Mens Premier Division Phase 2 Top 6,2025-03-08,,Old Georgians M1,Holcombe M1,3,1,St Georges College - Pitch 1,https://www.englandhockey.co.uk/fixtures/6ee50e36-ab65-471f-9224-a5aff921770c,2026-01-31T21:24:57
2024-2025,Phase 2,EH Adult EHL Open/Mens,Open - Mens Premier Division Phase 2 Top 6,2025-03-08,,Wimbledon M1,Hampstead & Westminster M1,4,3,Raynes Park High School,https://www.englandhockey.co.uk/fixtures/5d1c1e26-b31d-4c61-9e2d-1168bcf91711,2026-01-31T21:25:07
2024-2025,Phase 2,EH Adult EHL Open/Mens,Open - Mens Premier Division Phase 2 Top 6,2025-03-15,,Oxted M1,Wimbledon M1,0,3,Caterham School,https://www.englandhockey.co.uk/fixtures/e91bf004-e135-47aa-98d9-3e90cd8ed8e5,2026-01-31T21:25:33
2024-2025,Phase 2,EH Adult EHL Open/Mens,Open - Mens Premier Division Phase 2 Top 6,2025-03-15,,Hampstead & Westminster M1,Old Georgians M1,2,4,Paddington Recreation Ground,https://www.englandhockey.co.uk/fixtures/1a94c735-7ead-4aea-9315-fe3e2f18d8f1,2026-01-31T21:25:43
2024-2025,Phase 2,EH Adult EHL Open/Mens,Open - Mens Premier Division Phase 2 Lower 6,2025-03-01,,Cardiff & Met,Southgate M1,2,3,Welsh Institute of Sport,https://www.englandhockey.co.uk/fixtures/e236ff75-f44e-43a0-b0ec-31e3a6832abf,2026-01-31T21:26:36
2024-2025,Phase 2,EH Adult EHL Open/Mens,Open - Mens Premier Division Phase 2 Lower 6,2025-03-08,,Cardiff & Met,Bowdon,5,3,Welsh Institute of Sport,https://www.englandhockey.co.uk/fixtures/9208ebcb-1bfb-4485-9cba-bb1cb76c9b06,2026-01-31T21:27:00
2024-2025,Phase 2,EH Adult EHL Open/Mens,Open - Mens Premier Division Phase 2 Lower 6,2025-03-08,,Southgate M1,East Grinstead M1,3,3,Southgate Hockey Centre Pitch 1,https://www.englandhockey.co.uk/fixtures/fac48998-5c51-4efb-9ea9-5a11cae0d7ab,2026-01-31T21:27:11
2024-2025,Phase 2,EH Adult EHL Open/Mens,Open - Mens Premier Division Phase 2 Lower 6,2025-03-08,,Beeston M1,Richmond M1,2,1,Nottingham Hockey Centre - Pitch 1,https://www.englandhockey.co.uk/fixtures/f4f0d2c2-fe38-47a1-b993-44762c4e6339,2026-01-31T21:27:21
2024-2025,Phase 2,EH Adult EHL Open/Mens,Open - Mens Premier Division Phase 2 Lower 6,2025-03-15,,East Grinstead M1,Cardiff & Met,4,2,East Grinstead Sports Club,https://www.englandhockey.co.uk/fixtures/7c05de74-ed2a-4727-8268-8052340a9386,2026-01-31T21:27:44
2024-2025,,EH Adult EHL Open/Mens,Open - Mens Division 1 North,2024-09-21,,Harborne 1,Durham University M1,3,1,Birmingham - King Edward's VI Boys School,https://www.englandhockey.co.uk/fixtures/e0cf59d1-8eaf-40c1-91d3-ab65b2013488,2026-01-31T21:28:46
2024-2025,,EH Adult EHL Open/Mens,Open - Mens Division 1 North,2024-09-21,,University of Nottingham M1,Loughborough Students,0,0,Nottingham Hockey Centre - Pitch 4 (University),https://www.englandhockey.co.uk/fixtures/ba51a9ee-9bde-48b6-bc44-ca4b69225bac,2026-01-31T21:28:56
2024-2025,,EH Adult EHL Open/Mens,Open - Mens Division 1 North,2024-09-22,,Olton & West Warwicks,Stourport 1,6,2,Solihull - Olton & WW Sports Club,https://www.englandhockey.co.uk/fixtures/e04cd3da-8e21-4fa8-89c5-397a945b5794,2026-01-31T21:29:20
2024-2025,,EH Adult EHL Open/Mens,Open - Mens Division 1 North,2024-09-22,,University of Birmingham,Brooklands Manchester University M1,0,3,Birmingham - University Of Birmingham - Pitch 1,https://www.englandhockey.co.uk/fixtures/732368d0-b8f2-4c9e-8b7d-37652310f85a,2026-01-31T21:29:30
2024-2025,,EH Adult EHL Open/Mens,Open - Mens Division 1 North,2024-09-22,,Lindum,Deeside Ramblers,3,5,Lindum Sports Association,https://www.englandhockey.co.uk/fixtures/be0b73b8-b98f-4899-aae7-63684bb31da0,2026-01-31T21:29:40
2024-2025,,EH Adult EHL Open/Mens,Open - Mens Division 1 South,2024-09-22,,Old Loughtonians Mens 1,Team Bath Buccaneers,2,2,Old Loughtonians HC - Pitch 1,https://www.englandhockey.co.uk/fixtures/c9e3c4ec-79dd-4018-8d2e-8e5db9bdcd8c,2026-01-31T21:30:23
2024-2025,,EH Adult EHL Open/Mens,Open - Mens Division 1 South,2024-09-22,,Reading,University of Bristol,4,2,Reading HC - Pitch 1 - Sonning Lane Water,https://www.englandhockey.co.uk/fixtures/bb136680-708e-46a1-9166-da8943b3e0a5,2026-01-31T21:30:33
2024-2025,,EH Adult EHL Open/Mens,Open - Mens Division 1 South,2024-09-22,,Havant,University of Exeter M1,5,4,Havant College,https://www.englandhockey.co.uk/fixtures/7a262b57-bc65-4b79-a932-b9b0d9703fe5,2026-01-31T21:30:43
2024-2025,,EH Adult EHL Open/Mens,Open - Mens Division 1 South,2024-09-22,,Teddington M1,Canterbury,3,3,Teddington School - Pitch 2,https://www.englandhockey.co.uk/fixtures/05ba16ca-af82-4751-b528-9b7802e7fd91,2026-01-31T21:30:53
2024-2025,,EH Adult EHL Open/Mens,Open - Mens Division 1 South,2024-09-22,,Indian Gymkhana M1,Sevenoaks,4,2,Indian Gymkhana,https://www.englandhockey.co.uk/fixtures/647223db-4425-483a-ba27-92788efefd95,2026-01-31T21:31:03
