season,phase,competition_group,competition,position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,standings_url,scraped_at
2025-2026,Phase 1,EH Adult EHL Womens,Womens Premier Division,1,Surbiton W1,11,9,2,0,47,11,36,29,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=3a9366a6-1877-413e-b94e-816229092c51,2026-01-31T20:43:04
2025-2026,Phase 1,EH Adult EHL Womens,Womens Premier Division,2,Hampstead & Westminster W1,11,8,1,2,30,10,20,25,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=3a9366a6-1877-413e-b94e-816229092c51,2026-01-31T20:43:04
2025-2026,Phase 1,EH Adult EHL Womens,Womens Premier Division,3,East Grinstead W1,11,8,1,2,24,16,8,25,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=3a9366a6-1877-413e-b94e-816229092c51,2026-01-31T20:43:04
2025-2026,Phase 1,EH Adult EHL Womens,Womens Premier Division,4,Reading 1,11,6,2,3,22,14,8,20,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=3a9366a6-1877-413e-b94e-816229092c51,2026-01-31T20:43:05
2025-2026,Phase 1,EH Adult EHL Womens,Womens Premier Division,5,Wimbledon W1,11,5,4,2,19,11,8,19,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=3a9366a6-1877-413e-b94e-816229092c51,2026-01-31T20:43:05
2025-2026,Phase 1,EH Adult EHL Womens,Womens Premier Division,6,Durham University 1,11,5,0,6,29,21,8,15,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=3a9366a6-1877-413e-b94e-816229092c51,2026-01-31T20:43:05
2025-2026,Phase 1,EH Adult EHL Womens,Womens Premier Division,7,Loughborough Students W1,11,4,3,4,17,24,-7,15,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=3a9366a6-1877-413e-b94e-816229092c51,2026-01-31T20:43:05
2025-2026,Phase 1,EH Adult EHL Womens,Womens Premier Division,8,University of Birmingham W1,11,3,3,5,19,23,-4,12,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=3a9366a6-1877-413e-b94e-816229092c51,2026-01-31T20:43:05
2025-2026,Phase 1,EH Adult EHL Womens,Womens Premier Division,9,Bowdon 1,11,3,2,6,15,22,-7,11,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=3a9366a6-1877-413e-b94e-816229092c51,2026-01-31T20:43:05
2025-2026,Phase 1,EH Adult EHL Womens,Womens Premier Division,10,Clifton Robinsons 1,11,2,2,7,16,28,-12,8,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=3a9366a6-1877-413e-b94e-816229092c51,2026-01-31T20:43:05
2025-2026,Phase 1,EH Adult EHL Womens,Womens Premier Division,11,University of Nottingham 1,11,1,2,8,13,46,-33,5,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=3a9366a6-1877-413e-b94e-816229092c51,2026-01-31T20:43:05
2025-2026,Phase 1,EH Adult EHL Womens,Womens Premier Division,12,Barnes W1,11,1,0,10,12,37,-25,3,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=3a9366a6-1877-413e-b94e-816229092c51,2026-01-31T20:43:05
2025-2026,Phase 2,EH Adult EHL Womens,Womens Premier Division Phase 2 Top 6,1,Surbiton W1,11,9,2,0,47,11,36,29,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=a62d31b0-7e0b-4c23-a529-0e0a3498f63e,2026-01-31T20:43:41
2025-2026,Phase 2,EH Adult EHL Womens,Womens Premier Division Phase 2 Top 6,2,Hampstead & Westminster W1,11,8,1,2,30,10,20,25,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=a62d31b0-7e0b-4c23-a529-0e0a3498f63e,2026-01-31T20:43:42
2025-2026,Phase 2,EH Adult EHL Womens,Womens Premier Division Phase 2 Top 6,3,East Grinstead W1,11,8,1,2,24,16,8,25,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=a62d31b0-7e0b-4c23-a529-0e0a3498f63e,2026-01-31T20:43:42
2025-2026,Phase 2,EH Adult EHL Womens,Womens Premier Division Phase 2 Top 6,4,Reading 1,11,6,2,3,22,14,8,20,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=a62d31b0-7e0b-4c23-a529-0e0a3498f63e,2026-01-31T20:43:42
2025-2026,Phase 2,EH Adult EHL Womens,Womens Premier Division Phase 2 Top 6,5,Wimbledon W1,11,5,4,2,19,11,8,19,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=a62d31b0-7e0b-4c23-a529-0e0a3498f63e,2026-01-31T20:43:42
2025-2026,Phase 2,EH Adult EHL Womens,Womens Premier Division Phase 2 Top 6,6,Durham University 1,11,5,0,6,29,21,8,15,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=a62d31b0-7e0b-4c23-a529-0e0a3498f63e,2026-01-31T20:43:42
2025-2026,Phase 2,EH Adult EHL Womens,Womens Premier Division Phase 2 Lower 6,1,Loughborough Students W1,11,4,3,4,17,24,-7,15,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=f9f65627-dd7c-4f3b-9da1-4d39f72c1f08,2026-01-31T20:44:17
2025-2026,Phase 2,EH Adult EHL Womens,Womens Premier Division Phase 2 Lower 6,2,University of Birmingham W1,11,3,3,5,19,23,-4,12,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=f9f65627-dd7c-4f3b-9da1-4d39f72c1f08,2026-01-31T20:44:17
2025-2026,Phase 2,EH Adult EHL Womens,Womens Premier Division Phase 2 Lower 6,3,Bowdon 1,11,3,2,6,15,22,-7,11,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=f9f65627-dd7c-4f3b-9da1-4d39f72c1f08,2026-01-31T20:44:17
2025-2026,Phase 2,EH Adult EHL Womens,Womens Premier Division Phase 2 Lower 6,4,Clifton Robinsons 1,11,2,2,7,16,28,-12,8,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=f9f65627-dd7c-4f3b-9da1-4d39f72c1f08,2026-01-31T20:44:17
2025-2026,Phase 2,EH Adult EHL Womens,Womens Premier Division Phase 2 Lower 6,5,University of Nottingham 1,11,1,2,8,13,46,-33,5,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=f9f65627-dd7c-4f3b-9da1-4d39f72c1f08,2026-01-31T20:44:18
2025-2026,Phase 2,EH Adult EHL Womens,Womens Premier Division Phase 2 Lower 6,6,Barnes W1,11,1,0,10,12,37,-25,3,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=f9f65627-dd7c-4f3b-9da1-4d39f72c1f08,2026-01-31T20:44:18
2025-2026,,EH Adult EHL Womens,Womens Division 1 North,1,Buckingham W1,11,8,2,1,28,10,18,26,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=9fba25c1-c8e9-486c-be1a-a017e8d7e0e8,2026-01-31T20:44:53
2025-2026,,EH Adult EHL Womens,Womens Division 1 North,2,Gloucester City 1,11,5,4,2,31,21,10,19,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=9fba25c1-c8e9-486c-be1a-a017e8d7e0e8,2026-01-31T20:44:53
2025-2026,,EH Adult EHL Womens,Womens Division 1 North,3,Beeston W1,11,5,2,4,17,17,0,17,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=9fba25c1-c8e9-486c-be1a-a017e8d7e0e8,2026-01-31T20:44:54
2025-2026,,EH Adult EHL Womens,Womens Division 1 North,4,Sutton Coldfield 1,10,5,1,4,25,19,6,16,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=9fba25c1-c8e9-486c-be1a-a017e8d7e0e8,2026-01-31T20:44:54
2025-2026,,EH Adult EHL Womens,Womens Division 1 North,5,Loughborough Students 2,11,4,3,4,20,19,1,15,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=9fba25c1-c8e9-486c-be1a-a017e8d7e0e8,2026-01-31T20:44:54
2025-2026,,EH Adult EHL Womens,Womens Division 1 North,6,Leeds 1,11,4,1,6,22,22,0,13,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=9fba25c1-c8e9-486c-be1a-a017e8d7e0e8,2026-01-31T20:44:54
2025-2026,,EH Adult EHL Womens,Womens Division 1 North,7,Ben Rhydding W1,10,4,1,5,10,18,-8,13,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=9fba25c1-c8e9-486c-be1a-a017e8d7e0e8,2026-01-31T20:44:54
2025-2026,,EH Adult EHL Womens,Womens Division 1 North,8,Pendle Forest 1,11,3,4,4,9,17,-8,13,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=9fba25c1-c8e9-486c-be1a-a017e8d7e0e8,2026-01-31T20:44:54
2025-2026,,EH Adult EHL Womens,Womens Division 1 North,9,Repton W1,11,2,4,5,10,18,-8,10,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=9fba25c1-c8e9-486c-be1a-a017e8d7e0e8,2026-01-31T20:44:54
2025-2026,,EH Adult EHL Womens,Womens Division 1 North,10,Olton & West Warwicks 1,11,2,2,7,11,22,-11,8,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=9fba25c1-c8e9-486c-be1a-a017e8d7e0e8,2026-01-31T20:44:54
2025-2026,,EH Adult EHL Womens,Womens Division 1 South,1,Teddington W1,11,9,1,1,28,7,21,28,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=f9cacb04-850a-4b0c-9c86-22ca743091c3,2026-01-31T20:45:31
2025-2026,,EH Adult EHL Womens,Womens Division 1 South,2,University of Exeter W1,10,8,1,1,30,17,13,25,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=f9cacb04-850a-4b0c-9c86-22ca743091c3,2026-01-31T20:45:31
2025-2026,,EH Adult EHL Womens,Womens Division 1 South,3,Reading 2,11,6,2,3,18,15,3,20,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=f9cacb04-850a-4b0c-9c86-22ca743091c3,2026-01-31T20:45:31
2025-2026,,EH Adult EHL Womens,Womens Division 1 South,4,Holcombe W1,10,5,2,3,24,16,8,17,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=f9cacb04-850a-4b0c-9c86-22ca743091c3,2026-01-31T20:45:31
2025-2026,,EH Adult EHL Womens,Womens Division 1 South,5,Bristol Firebrands 1,11,5,2,4,25,24,1,17,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=f9cacb04-850a-4b0c-9c86-22ca743091c3,2026-01-31T20:45:31
2025-2026,,EH Adult EHL Womens,Womens Division 1 South,6,Surbiton W2,11,4,3,4,28,17,11,15,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=f9cacb04-850a-4b0c-9c86-22ca743091c3,2026-01-31T20:45:31
2025-2026,,EH Adult EHL Womens,Womens Division 1 South,7,Southgate W1,11,3,3,5,19,23,-4,12,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=f9cacb04-850a-4b0c-9c86-22ca743091c3,2026-01-31T20:45:31
2025-2026,,EH Adult EHL Womens,Womens Division 1 South,8,Sevenoaks 1,11,3,3,5,17,27,-10,12,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=f9cacb04-850a-4b0c-9c86-22ca743091c3,2026-01-31T20:45:31
2025-2026,,EH Adult EHL Womens,Womens Division 1 South,9,Guildford 1,11,2,1,8,16,28,-12,7,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=f9cacb04-850a-4b0c-9c86-22ca743091c3,2026-01-31T20:45:31
2025-2026,,EH Adult EHL Womens,Womens Division 1 South,10,Harleston Magpies 1,11,0,0,11,6,37,-31,0,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=e9427139-5a57-4841-ab3e-1087bf72678e&competition-group=edd72a6f-8bb4-46ad-80c8-2018f8399e8f&competition=f9cacb04-850a-4b0c-9c86-22ca743091c3,2026-01-31T20:45:31
